Guid,Name,CurrencyIsoCode,SBQQ__EffectiveDate__c,SBQQ__LowerBound__c,SBQQ__PriceBook2__c,SBQQ__Price__c,SBQQ__Product__c,SBQQ__UpperBound__c,PriceFormat__c,OverageRate__c,MixedBlockTierOFPrice__c,ProductCode__c
752a7805-3c09-4e3f-aa27-4eb0ff85cc6c,Stakeholder PD.Org Tier 2,USD,#N/A,1.0,#N/A,1800.0,7811e015-30ef-4817-8c52-89807b3adb3b,51.0,FlatFee,#N/A,#N/A,S3T-BP-XX-CPQ
7592bdac-fb7a-40d6-bc67-a2aef69cb679,Tier 3 Team Tiered Legacy Stakeholder,USD,#N/A,2.0,#N/A,240.0,4356d58b-e565-432c-a9a8-37857c10d652,3.0,FlatFee,#N/A,#N/A,S2TL-BP-XX-CPQ
76f16532-25c6-47d4-b0fe-67adc2889779,Tier 2 Professional Tiered Legacy Stakeholder,USD,#N/A,1.0,#N/A,240.0,23c941bd-c319-4136-bd3f-a8b30f435c8b,2.0,FlatFee,#N/A,#N/A,STPPL-BP-XX-CPQ
7b32ab1b-4c8a-4a1a-a3ad-5eddcd0d05de,Business Stakeholder Tier 5,USD,#N/A,501.0,#N/A,24000.0,77a61120-afd6-4a1c-ad54-3dafee4636c5,1001.0,FlatFee,#N/A,#N/A,S2B-BP-XX-CPQ
7cb2f7bb-97a2-420b-8283-06917b4d7b47,Professional Services Optimize With ServiceNow (Medium) Tier 2,USD,#N/A,251.0,#N/A,54000.0,a7ca1efe-216a-4f06-a124-7c73191f523f,501.0,FlatFee,#N/A,#N/A,PSVOS-SE-SS-CPQ
7cc29690-240c-4029-be7c-017b92592d02,Tier 4,USD,#N/A,6.0,#N/A,180.0,a165039d-1244-4ac7-a04c-96b2a1b6d3b8,8.0,#N/A,#N/A,#N/A,MIRT-AO-LU-CPQ
7cda91f2-0ab8-4be1-b876-07465a4d52cc,Tier 3 PD.Org Tiered Legacy Stakeholder,USD,#N/A,2.0,#N/A,240.0,c4e9b6c7-e4b7-41ac-95d7-d2ad231d8090,3.0,FlatFee,#N/A,#N/A,S3TL-BP-XX-CPQ
7cf695b9-21db-44c7-85bf-6491e5291980,Business Stakeholder Tier 1,USD,#N/A,0.0,#N/A,0.0,8c8bb0e7-3ff8-4874-a8bc-a8ba1a4965fd,1.0,FlatFee,#N/A,#N/A,S2B-BP-XX-CPQ-FY21
7e1f09d8-e880-4386-ae3c-921876883334,Stakeholder User Fee Tier 2,USD,#N/A,1.0,#N/A,150.0,5366ad91-6892-4c85-a1a6-f9bb7833a3e6,51.0,FlatFee,#N/A,#N/A,TPSU-BP-MM-CPQ
7e2f2ffc-c6f3-4b84-a8c0-d90c70b65c10,Professional Stakeholder Tier 4,USD,#N/A,251.0,#N/A,15000.0,86ec9e71-9297-40d4-aadb-f4ebd4230c99,501.0,FlatFee,#N/A,#N/A,SHPX-BP-XX-CPQ
