Guid,CurrencyIsoCode,SBQQ__Rule__c,SBQQ__FilterType__c,SBQQ__FilterValue__c,SBQQ__FilterVariable__c,SBQQ__Index__c,SBQQ__Operator__c,SBQQ__ParentRuleIsActive__c,SBQQ__RuleTargetsQuote__c,SBQQ__TestedField__c,SBQQ__TestedObject__c,SBQQ__TestedVariable__c,ErrorConditionExternalID__c
a4726fe8-8817-4d20-bf57-6ac29f56d768,USD,34e92ca5-e95f-4a09-9469-e84a9f06c1af,Value,#N/A,#N/A,8.0,equals,false,false,#N/A,#N/A,23aaad17-00bd-4825-9717-c61413fee043,#N/A
a5cb6b89-bfa7-460c-af74-02e309e8cc9c,USD,7a0f6759-bfc4-4e4a-b5cd-36c786f02b25,Value,TRUE,#N/A,10.0,equals,true,true,fml_IsHiddenProduct__c,Quote Line,#N/A,#N/A
a797793e-bae5-4fd6-a410-9abd2fa66751,USD,e593dadc-cbca-4711-8d19-89f36004e92a,Value,#N/A,#N/A,1.0,equals,true,false,Business_Product__c,Product Option,#N/A,#N/A
a81b26e1-d645-48c4-aa14-407dd7b628bd,USD,60ac932a-c3ff-40ac-b54e-e2dcf0453c47,Value,RESI-BP-XX-CPQ,#N/A,10.0,not equals,false,false,SBQQ__ProductCode__c,Product Option,#N/A,#N/A
a9c86152-7926-41ef-9fb9-82580b8c27e4,USD,1cdd7d4e-6804-4846-9942-d2de15ed9361,Value,0,#N/A,#N/A,equals,true,false,#N/A,#N/A,c0c07e19-ce15-4379-90e3-df5ed1a80cca,#N/A
aa049260-f559-4f5a-b401-ab1865a77633,USD,dbf3399c-d389-40ab-a643-d9be78658827,Value,false,#N/A,3.0,equals,true,false,DealDeskOverride__c,Quote,#N/A,#N/A
ad25d7af-e92f-42a7-ba88-c73abd97232f,USD,98aebdac-2e17-43c7-b809-b436dac5d0c6,Value,Quarterly,#N/A,20.0,equals,true,true,Billing_Frequency2__c,Quote,#N/A,#N/A
ad8b45ed-92fd-423c-8192-8330a066a121,USD,659cf0fa-3138-4d74-9a93-1b600a326f4a,Value,150,#N/A,20.0,greater than,true,true,SBQQ__Quantity__c,Quote Line,#N/A,#N/A
afc49d52-fbeb-4989-bb90-a988e7b5b2de,USD,98aebdac-2e17-43c7-b809-b436dac5d0c6,Value,0,#N/A,40.0,greater than,true,true,NumberOfRundeckProducts__c,Quote,#N/A,#N/A
b0f4e12b-06bb-414f-a68c-88f1c6133915,USD,e7c3a5a2-cb71-4f8b-bcea-5573ae0821c7,Value,Visibility,#N/A,20.0,contains,true,true,SBQQ__ProductName__c,Quote Line,#N/A,#N/A
b115294c-3d9d-49a9-856a-f63f3a751252,USD,98aebdac-2e17-43c7-b809-b436dac5d0c6,Value,Semiannual,#N/A,10.0,equals,true,true,Billing_Frequency2__c,Quote,#N/A,#N/A
b1bf64f6-9b71-44bd-9f34-75f6f6d3a3a3,USD,fc1d0419-19a6-410e-91bd-cb21c9c87f98,Value,0,#N/A,4.0,equals,true,false,#N/A,#N/A,b6f45890-89a0-4d69-8bba-7f169a0b07f8,#N/A
